@relation Actions
@attribute global_optimality real
@attribute medium_size_Rules real
@attribute medium_size_Programs real
@attribute best_Rule_Ratio real
@attribute best_Program_Ratio real
@attribute rule_name {0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105}
@attribute size real
@attribute arity real
@attribute action {1,2,3,4,5,6}
@attribute prev1 {0,1,2,3,4,5,6}
@attribute prev2 {0,1,2,3,4,5,6}
@attribute prev3 {0,1,2,3,4,5,6}
@attribute cob real
@attribute cobNeg real
@attribute PrevOps real
@attribute vars real
@attribute cons real
@attribute func real
@attribute struc real
@attribute rec real
@attribute class real
@data
0.49128,0.00000,0.00000,0.00000,0.00000,0,13.50978,1,1,0,0,0,1.00000,0.00000,0,0.00000,3.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,16.67970,1,1,0,0,0,1.00000,0.00000,0,0.00000,4.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,19.84963,1,1,0,0,0,1.00000,0.00000,0,0.00000,5.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,23.01955,1,1,0,0,0,1.00000,0.00000,0,0.00000,6.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,26.18948,1,1,0,0,0,1.00000,0.00000,0,0.00000,7.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,29.35940,1,1,0,0,0,1.00000,0.00000,0,0.00000,8.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,32.52933,1,1,0,0,0,1.00000,0.00000,0,0.00000,9.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,35.69925,1,1,0,0,0,1.00000,0.00000,0,0.00000,10.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,38.86918,1,1,0,0,0,1.00000,0.00000,0,0.00000,11.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,42.03910,1,1,0,0,0,1.00000,0.00000,0,0.00000,12.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,13.50978,1,2,0,0,0,1.00000,0.00000,0,0.00000,3.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,16.67970,1,2,0,0,0,1.00000,0.00000,0,0.00000,4.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,19.84963,1,2,0,0,0,1.00000,0.00000,0,0.00000,5.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,23.01955,1,2,0,0,0,1.00000,0.00000,0,0.00000,6.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,26.18948,1,2,0,0,0,1.00000,0.00000,0,0.00000,7.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,29.35940,1,2,0,0,0,1.00000,0.00000,0,0.00000,8.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,32.52933,1,2,0,0,0,1.00000,0.00000,0,0.00000,9.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,35.69925,1,2,0,0,0,1.00000,0.00000,0,0.00000,10.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,38.86918,1,2,0,0,0,1.00000,0.00000,0,0.00000,11.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,42.03910,1,2,0,0,0,1.00000,0.00000,0,0.00000,12.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,13.50978,1,3,0,0,0,1.00000,0.00000,0,0.00000,3.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,16.67970,1,3,0,0,0,1.00000,0.00000,0,0.00000,4.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,19.84963,1,3,0,0,0,1.00000,0.00000,0,0.00000,5.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,23.01955,1,3,0,0,0,1.00000,0.00000,0,0.00000,6.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,26.18948,1,3,0,0,0,1.00000,0.00000,0,0.00000,7.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,29.35940,1,3,0,0,0,1.00000,0.00000,0,0.00000,8.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,32.52933,1,3,0,0,0,1.00000,0.00000,0,0.00000,9.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,35.69925,1,3,0,0,0,1.00000,0.00000,0,0.00000,10.00000,0.00000,1.00000,0.00000,0.90000
0.49128,0.00000,0.00000,0.00000,0.00000,0,38.86918,1,3,0,0,0,1.00000,0.00000,0,0.00000,11.00000,0.00000,1.00000,0.00000,0.90000
